"","Year","Month","Day","Hour","Minute","Second","tmd5","tmd15","tmd25","tmd35","tmu5","tmu15","tmu25","tmu35","alpha5","beta5","VhrmHRM5","alpha15","beta15","VhrmHRM15","alpha25","beta25","VhrmHRM25","alpha35","beta35","VhrmHRM35","Voltage","EMU","TreeID","Datetime"
"1",26,4,11,23,30,29,84.9359359359359,NA,NA,76.4204204204204,74.4274274274274,NA,NA,NA,0.0919173809087456,0.0704340993232116,1.37876071363118,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-11 23:30:29
"2",26,4,12,0,0,14,74.4009009009009,NA,32.5690690690691,59.460960960961,58.464964964965,NA,NA,NA,0.0366953806624469,0.0198075925517958,0.550430709936704,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 00:00:14
"3",26,4,12,0,30,14,67.9269269269269,NA,NA,52.6881881881882,65.2377377377377,NA,NA,NA,-0.00156646499133934,-0.00610174471786493,-0.02349697487009,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 00:30:14
"4",26,4,12,1,0,14,61.950950950951,NA,NA,26.9594594594595,58.464964964965,NA,NA,NA,-0.0123192052266335,-0.0174738411479376,-0.184788078399503,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 01:00:14
"5",26,4,12,1,30,14,52.5885885885886,NA,65.9349349349349,7.46996996996997,62.7477477477478,NA,NA,NA,-0.102433270262512,-0.0998990827314762,-1.53649905393769,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 01:30:14
"6",26,4,12,2,0,14,61.452952952953,NA,27.6531531531532,6.47397397397397,52.488988988989,NA,NA,NA,0.0499216866221074,0.0452468222764498,0.748825299331611,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 02:00:14
"7",26,4,12,2,30,14,65.4369369369369,NA,NA,92.9594594594595,58.464964964965,NA,NA,NA,0.00239386325711787,-0.000460581876568149,0.0359079488567681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 02:30:14
"8",26,4,12,3,0,14,66.9309309309309,NA,34.1626626626627,6.41591591591592,54.6801801801802,NA,NA,NA,-0.0439826454792073,-0.0562875627601157,-0.65973968218811,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 03:00:14
"9",26,4,12,3,30,14,64.6401401401401,NA,NA,27.4894894894895,55.476976976977,NA,NA,NA,0.0149815653163561,-0.00583931587625046,0.224723479745342,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 03:30:14
"10",26,4,12,4,0,14,66.9309309309309,NA,NA,64.4189189189189,52.986986986987,NA,NA,NA,-0.00658476875087355,-0.0125993649029879,-0.0987715312631033,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 04:00:14
"11",26,4,12,4,30,14,62.946946946947,NA,NA,2.48998998998999,59.460960960961,NA,NA,NA,-0.0543588175852654,-0.0664963405816644,-0.815382263778981,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 04:30:14
"12",26,4,12,5,0,14,54.6801801801802,NA,71.7867867867868,9.46196196196196,63.9429429429429,NA,NA,NA,0.0211213326627388,0.0235875232828447,0.316819989941082,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 05:00:14
"13",26,4,12,5,30,14,64.9389389389389,NA,97.7072072072072,55.476976976977,53.982982982983,NA,NA,NA,-0.00134190540904749,-0.00819295938086294,-0.0201285811357123,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 05:30:14
"14",26,4,12,6,0,14,58.962962962963,NA,66.4329329329329,5.97597597597598,59.460960960961,NA,NA,NA,-0.000496956832326166,0.00888894741724643,-0.00745435248489248,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 06:00:14
"15",26,4,12,6,30,14,72.9069069069069,NA,90.4364364364364,34.9594594594595,60.954954954955,NA,NA,NA,0.0257767186148983,0.0265116061594048,0.386650779223474,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 06:30:14
"16",26,4,12,7,0,14,55.476976976977,NA,NA,4.38238238238238,53.982982982983,NA,NA,NA,0.111487283340449,0.104275871606728,1.67230925010674,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 07:00:14
"17",26,4,12,7,30,14,71.2137137137137,NA,NA,8.46596596596597,64.7397397397397,NA,NA,NA,0.245081986309282,0.235691427966237,3.67622979463923,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 07:30:14
"18",26,4,12,8,0,14,71.9109109109109,NA,16.9084084084084,93.4244244244244,59.958958958959,NA,NA,NA,0.146535762016255,0.14715050540556,2.19803643024382,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 08:00:14
"19",26,4,12,8,30,14,64.2417417417417,NA,36.2747747747748,9.46196196196196,51.492992992993,NA,NA,NA,0.317221569649006,0.289885032971074,4.75832354473509,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 08:30:14
"20",26,4,12,9,0,14,68.9229229229229,NA,27.4894894894895,8.46596596596597,58.962962962963,NA,NA,NA,0.25856102679949,0.22440958869768,3.87841540199235,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 09:00:14
"21",26,4,12,9,30,14,61.950950950951,NA,78.6891891891892,10.955955955956,47.4094094094094,NA,NA,NA,0.422552032619753,0.394216826924617,6.3382804892963,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 09:30:14
"22",26,4,12,10,0,14,57.468968968969,NA,14.1431431431431,6.47397397397397,44.4214214214214,NA,NA,NA,0.539136046005247,0.515553063328296,8.08704069007871,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 10:00:14
"23",26,4,12,10,30,14,55.2777777777778,NA,34.1936936936937,14.4419419419419,44.9194194194194,NA,NA,NA,0.607057613517192,0.592827315736196,9.10586420275788,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"R1171_NB",NA,2026-04-12 10:30:14
